id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
12759,"Ibura, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,IBURA,,UR 10,-8.1101563000,-34.9365967000,"02/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,356689ef-9562-45b2-8741-da708c27ecfc,People,dead,Encontro de cadáver,"02/04/2018, 21:00:00",Civilian,,adulto,homem cis,Não identificado,automóvel,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12906,"Praça do Jardim São Paulo - Jardim São Paulo, Recife - PE, 50781-760, Brasil",Nordeste,Pernambuco,Recife,JARDIM SAO PAULO,,,-8.0816319000,-34.9383550000,"02/04/2018, 21:00:00",false,true,,Tentativa/Roubo,,,false,f0881a2d-4f83-4353-ad53-e7a9a3c9d7f7,People,wounded,,"31/12/1899, 20:53:32",Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia penal,não identificado,fora de serviço,
12802,"Av. Domingos Ferreira - Pina, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,PINA,,,-8.1007841000,-34.8874561000,"03/04/2018, 18:04:00",false,false,,Homicidio/Tentativa,,,false,182136ec-e60c-4be7-89a5-c801a4dd6c6d,People,dead,,"03/04/2018, 18:04:00",Civilian,36,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12797,"R. Iguatemi, 2-98 - Candeias, Jaboatão dos Guararapes - PE, 54430-220, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,CANDEIAS,,CONJUNTO DOM HELDER CAMARA,-8.1945426000,-34.9360065000,"03/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,0c3edbe2-8535-46bf-820c-60d500a82501,People,dead,,"03/04/2018, 21:00:00",Civilian,26,adulto,homem cis,Não identificado,residência,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12776,"Centro, Igarassu - PE, 53605-030, Brasil",Nordeste,Pernambuco,Igarassu,CENTRO,,,-7.8277638000,-34.9096978000,"04/04/2018, 09:00:00",false,false,,Homicidio/Tentativa,,,false,44ae65ca-bfd9-45f6-af36-af2486e22396,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12776,"Centro, Igarassu - PE, 53605-030, Brasil",Nordeste,Pernambuco,Igarassu,CENTRO,,,-7.8277638000,-34.9096978000,"04/04/2018, 09:00:00",false,false,,Homicidio/Tentativa,,,false,20515036-be25-4a28-add2-5699780fbc30,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12853,"R. Setenta - Maranguape II, Paulista - PE, Brasil",Nordeste,Pernambuco,Paulista,MARANGUAPE II,,,-7.9323084000,-34.8504014000,"05/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,ab464905-1845-43cc-ad65-fc2be612bc73,People,dead,,"05/04/2018, 21:00:00",Civilian,16,adolescente,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12905,"R. Alto Vila Rica - Vila Rica, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,VILA RICA,,,-8.1205078000,-35.0246478000,"05/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,3862a8fc-38e5-45bd-84c7-52e17c6f309c,People,dead,,"05/04/2018, 21:00:00",Civilian,39,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12962,"R. Profa. Maria José Lage - Lot. Praia de Gaibu, Cabo de Santo Agostinho - PE, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,GAIBU,PRAIA DE GAIBU,,-8.3386713000,-34.9512922000,"08/04/2018, 16:00:00",false,false,,Homicidio/Tentativa,,,false,582b8497-e7fb-4b10-9478-dfc64eb12fbb,People,dead,,"08/04/2018, 16:00:00",Civilian,20,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12962,"R. Profa. Maria José Lage - Lot. Praia de Gaibu, Cabo de Santo Agostinho - PE, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,GAIBU,PRAIA DE GAIBU,,-8.3386713000,-34.9512922000,"08/04/2018, 16:00:00",false,false,,Homicidio/Tentativa,,,false,dd35f637-ce7c-4958-93cf-493a4d73e848,People,dead,,"08/04/2018, 16:00:00",Civilian,17,adolescente,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
