id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
16,"Favela do Rola - Santa Cruz, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA CRUZ,,COMPLEXO DO RODO,-22.9196510315,-43.6843872070,"05/07/2016, 03:02:00",true,true,N�o identificado,Operação policial,,,false,b59f5be1-9df5-495a-8952-c67d60234af4,People,dead,,"05/07/2016, 03:02:00",Agent,44,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,em serviço,27 BPM
35,"Rua Arlíndo Cardoso - Santíssimo, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SENADOR CAMARA,,,-22.8819732666,-43.4999809265,"05/07/2016, 16:00:00",false,false,,Homicidio/Tentativa,,,false,73939274-d660-4dd5-92f4-3bd231b40ca0,People,dead,,"05/07/2016, 16:00:00",Civilian,,não identificado,não identificado,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
34,"Rua Piracambú - Acari, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ACARI,,FAVELA DE ACARI,-22.8246002197,-43.3457946777,"05/07/2016, 17:34:00",true,true,N�o identificado,Operação policial,,,false,119793d5-761d-4ab8-a2a0-3c5e0d44a74f,People,dead,,"05/07/2016, 17:34:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
70,"Rua Bispo Lacerda - Del Castilho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,DEL CASTILHO,,,-22.8763427734,-43.2680778503,"05/07/2016, 21:46:00",false,false,,Não identificado,,,false,6a234377-ff66-40a2-81cf-00078ad4003d,People,dead,,"05/07/2016, 21:46:00",Civilian,,não identificado,não identificado,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
70,"Rua Bispo Lacerda - Del Castilho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,DEL CASTILHO,,,-22.8763427734,-43.2680778503,"05/07/2016, 21:46:00",false,false,,Não identificado,,,false,26d2b282-4f02-458a-8e4d-eac4a9660c57,People,wounded,,"31/12/1899, 20:53:32",Civilian,,não identificado,não identificado,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
86,"Rua Capineira - Vila Ideal, Duque de Caxias - RJ, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,BAR DOS CAVALEIROS,VILA IDEAL,FAVELA DO LIXAO,-22.7944641113,-43.3152313232,"06/07/2016, 14:55:00",true,true,N�o identificado,Operação policial,,Outros,false,29f2dc33-18a2-451d-9c23-728792d46ca2,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,Gestante,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
126,"Largo da Carioca - Centro, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CENTRO,,,-22.9064922333,-43.1776351929,"06/07/2016, 15:10:00",false,false,,Tentativa/Roubo,,,false,eb0b2aea-59f5-4912-a6ad-421c2846d61a,People,dead,,"06/07/2016, 15:10:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
230,"Caxias Shopping - Rod. Washington Luíz, 2895 - Parque Duque, Duque de Caxias - RJ, 25085-008, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,PARQUE DUQUE,,,-22.7872601000,-43.2863159000,"06/07/2016, 19:00:00",false,false,,Homicidio/Tentativa,,"Presença de político,Shopping",false,fe319c47-d4c9-4080-b827-c1a208322bd5,People,dead,,"06/07/2016, 19:00:00",Civilian,30,adulto,mulher cis,Não identificado,shopping,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
230,"Caxias Shopping - Rod. Washington Luíz, 2895 - Parque Duque, Duque de Caxias - RJ, 25085-008, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,PARQUE DUQUE,,,-22.7872601000,-43.2863159000,"06/07/2016, 19:00:00",false,false,,Homicidio/Tentativa,,"Presença de político,Shopping",false,58d771b5-39d9-4a51-952c-a6b13a15ebf8,People,dead,,"06/07/2016, 19:00:00",Civilian,41,adulto,homem cis,Não identificado,shopping,não se aplica,Político,vereador,pré-candidato,,não se aplica,não se aplica,não se aplica,
124,"Rua Japoara - Ricardo de Albuquerque, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,RICARDO DE ALBUQUERQUE,,,-22.8405761719,-43.4050102234,"06/07/2016, 20:30:00",false,false,,Tentativa/Roubo,,,false,4d614f06-e63e-4fb4-8be0-a6d954312a75,People,dead,,"06/07/2016, 20:30:00",Civilian,,adulto,não identificado,Não identificado,residência,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
117,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VICENTE DE CARVALHO,,MORRO DO JURAMENTO (COMPLEXO DO JURAMENTO),-22.8627777100,-43.3152770996,"06/07/2016, 20:45:00",true,true,N�o identificado,Ação policial,,,false,66fbb533-06a6-4157-9bf0-00e79fff6c97,People,wounded,,"31/12/1899, 20:53:32",Civilian,,não identificado,não identificado,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
5324,"Av. Miguel Couto - Jardim Sumare, São João de Meriti - RJ, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,JARDIM SUMARE,,,-22.7795677185,-43.3342590332,"06/07/2016, 21:00:00",true,true,N�o identificado,Tentativa/Roubo,,,false,136be899-8c72-44d2-823d-7dee30b4bcf4,People,wounded,,"31/12/1899, 20:53:32",Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,em serviço,
5323,"Pau da Bandeira  - Morro dos Macacos - Sampaio, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SAMPAIO,,MORRO DOS MACACOS,-22.9099998474,-43.2574996948,"06/07/2016, 21:00:00",true,true,N�o identificado,Ação policial,,,false,3b2b6e5b-1625-45b4-8484-8b26d30c0624,People,wounded,,"31/12/1899, 20:53:32",Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,em serviço,
156,"Rua Álvares de Azevedo - Cachambi, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREZINHO,,JACAREZINHO,-22.8904476166,-43.2634544373,"07/07/2016, 01:24:00",true,true,N�o identificado,Ação policial,,,false,0cde40eb-cde5-4912-ad00-bd93094f8e2e,People,dead,,"07/07/2016, 01:24:00",Civilian,,não identificado,não identificado,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
